,iso3,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
232,ATG,2015,80.3888,Antigua y Barbuda,47087.0,43.0,0,0
233,BHS,2015,76.3718,Bahamas,203844.0,74.0,0,0
234,BLZ,2015,76.4857,Belice,178905.0,43.0,0,0
235,BOL,2015,69.9111,Bolivia,5511477.0,168.0,1.966,96.0
236,BRA,2015,77.5719,Brasil,104179515.0,63.0,2.09,0
237,BRB,2015,78.5907,Barbados,145073.0,31.0,0,0
238,CHL,2015,82.3839,Chile,9004176.0,14.0,1.608,0
239,COL,2015,79.2916,Colombia,23847355.0,85.0,2.623,0
240,CRI,2015,81.5686,Costa Rica,2440173.0,28.0,1.693,27.0
241,CUB,2015,80.1479,Cuba,5687872.0,38.0,2.033,0
242,DMA,2015,71.0817,Dominica,34863.0,0,0,0
243,DOM,2015,76.3773,República Dominicana,5160958.0,94.0,2.037,98.0
244,ECU,2015,79.2086,Ecuador,8095675.0,63.0,1.966,56.0
245,GRD,2015,78.0516,Granada,59160.0,25.0,0,0
246,GTM,2015,75.1782,Guatemala,7856056.0,103.0,2.074,178.0
247,GUY,2015,71.6316,Guyana,383410.0,172.0,2.03,0
248,HND,2015,74.991,Honduras,4595215.0,67.0,2.075,312.0
249,HTI,2015,65.9535,Haití,5317590.0,488.0,2.033,0
250,JAM,2015,73.9708,Jamaica,1406816.0,78.0,1.984,0
251,KNA,2015,74.9211,Saint Kitts y Nevis,24430.0,0,0,0
252,LCA,2015,76.4009,Santa Lucía,88222.0,115.0,0,2.0
253,MEX,2015,77.6919,México,61325120.0,36.0,2.225,411.0
254,NIC,2015,75.925,Nicaragua,3194985.0,101.0,1.948,0
255,PAN,2015,80.5155,Panamá,1975219.0,58.0,1.92,28.0
256,PER,2015,77.7427,Perú,15496198.0,94.0,1.999,103.0
257,PRY,2015,75.9968,Paraguay,3071251.0,88.0,2.048,23.0
258,SLV,2015,76.5716,El Salvador,3254990.0,48.0,2.178,274.0
259,SUR,2015,74.2239,Suriname,287483.0,122.0,0,0
260,TTO,2015,77.9299,Trinidad y Tobago,740577.0,68.0,2.024,9.0
261,URY,2015,81.3861,Uruguay,1759187.0,18.0,1.661,26.0
262,VCT,2015,77.2594,San Vicente y las Granadinas,51944.0,64.0,0,0
263,VEN,2015,77.2179,Venezuela,15341129.0,115.0,2.485,121.0
264,ARG,2016,79.67,Argentina,22019065.0,40.0,1.954,254.0
265,ATG,2016,80.6451,Antigua y Barbuda,47388.0,43.0,0,0
266,BHS,2016,76.9382,Bahamas,205736.0,72.0,0,0
267,BLZ,2016,76.6678,Belice,182514.0,39.0,0,0
268,BOL,2016,70.2591,Bolivia,5599297.0,161.0,1.891,104.0
269,BRA,2016,77.8481,Brasil,105065188.0,62.0,2.14,1662.0
270,BRB,2016,78.7235,Barbados,145315.0,30.0,0,0
271,CHL,2016,82.57,Chile,9111944.0,13.0,1.572,0
272,COL,2016,79.4398,Colombia,24107989.0,84.0,2.58,57.0
273,CRI,2016,82.0082,Costa Rica,2465916.0,28.0,1.695,26.0
274,CUB,2016,80.1105,Cuba,5691556.0,37.0,2.02,0
275,DMA,2016,73.0191,Dominica,34895.0,0,0,0
276,DOM,2016,76.304,República Dominicana,5224450.0,94.0,2.038,108.0
277,ECU,2016,79.1373,Ecuador,8217460.0,61.0,1.95,66.0
278,GRD,2016,77.8138,Granada,59709.0,25.0,0,0
279,GTM,2016,75.3922,Guatemala,7987891.0,98.0,2.124,173.0
280,GUY,2016,71.8822,Guyana,386678.0,170.0,2.05,0
281,HND,2016,75.0777,Honduras,4678163.0,65.0,2.124,264.0
282,HTI,2016,66.2348,Haití,5394724.0,489.0,2.014,0
283,JAM,2016,73.9174,Jamaica,1410867.0,80.0,1.956,0
284,KNA,2016,75.941,Saint Kitts y Nevis,24472.0,0,0,0
285,LCA,2016,76.5822,Santa Lucía,88683.0,117.0,0,0.0
286,MEX,2016,77.4856,México,62029592.0,34.0,2.274,604.0
287,NIC,2016,76.122,Nicaragua,3240784.0,100.0,1.892,0
288,PAN,2016,80.7356,Panamá,2010059.0,55.0,1.839,19.0
289,PER,2016,77.9528,Perú,15704688.0,91.0,1.963,105.0
290,PRY,2016,76.413,Paraguay,3116116.0,86.0,2.02,39.0
291,SLV,2016,77.0754,El Salvador,3266614.0,47.0,2.124,256.0
292,SUR,2016,74.8513,Suriname,290695.0,121.0,0,0
293,TTO,2016,77.6742,Trinidad y Tobago,745604.0,68.0,2.021,20.0
294,URY,2016,81.3561,Uruguay,1764048.0,18.0,1.648,22.0
295,VCT,2016,77.102,San Vicente y las Granadinas,51704.0,67.0,0,0
296,VEN,2016,76.7416,Venezuela,15457477.0,121.0,2.622,122.0
297,ARG,2017,80.085,Argentina,22244116.0,39.0,1.934,249.0
298,ATG,2017,80.7206,Antigua y Barbuda,47658.0,42.0,0,0
299,BHS,2017,77.1704,Bahamas,207529.0,70.0,0,0
300,BLZ,2017,76.8448,Belice,186106.0,36.0,0,0
301,BOL,2017,70.3472,Bolivia,5686999.0,155.0,1.937,110.0
302,BRA,2017,78.0322,Brasil,105937948.0,60.0,2.203,1582.0
303,BRB,2017,78.8415,Barbados,145542.0,27.0,0,0
304,CHL,2017,82.6012,Chile,9254199.0,13.0,1.56,0
305,COL,2017,79.5348,Colombia,24477100.0,83.0,2.646,208.0
306,CRI,2017,81.7602,Costa Rica,2490983.0,27.0,1.698,26.0
307,CUB,2017,80.0708,Cuba,5691861.0,36.0,2.011,0
308,DMA,2017,69.6472,Dominica,35104.0,0,0,0
309,DOM,2017,76.3186,República Dominicana,5286818.0,95.0,2.029,119.0
310,ECU,2017,79.3952,Ecuador,8346245.0,59.0,1.844,101.0
311,GRD,2017,77.7719,Granada,60239.0,25.0,0,0
312,GTM,2017,75.5204,Guatemala,8119332.0,95.0,2.13,180.0
313,GUY,2017,72.2069,Guyana,389970.0,169.0,1.983,0
314,HND,2017,75.1876,Honduras,4761059.0,65.0,2.088,235.0
315,HTI,2017,66.732,Haití,5471873.0,480.0,1.932,0
316,JAM,2017,73.9115,Jamaica,1413838.0,80.0,1.944,0
317,KNA,2017,75.9225,Saint Kitts y Nevis,24515.0,0,0,0
318,LCA,2017,76.7579,Santa Lucía,89132.0,117.0,0,4.0
319,MEX,2017,77.3026,México,62712641.0,33.0,2.388,742.0
320,NIC,2017,76.3671,Nicaragua,3286867.0,98.0,1.941,0
321,PAN,2017,80.9248,Panamá,2045156.0,52.0,1.81,15.0
322,PER,2017,78.0997,Perú,15939422.0,88.0,1.947,116.0
323,PRY,2017,76.4588,Paraguay,3161074.0,84.0,2.006,53.0
324,SLV,2017,77.4936,El Salvador,3276963.0,46.0,2.176,271.0
325,SUR,2017,75.703,Suriname,294024.0,120.0,0,0
326,TTO,2017,77.6943,Trinidad y Tobago,750563.0,67.0,2.067,21.0
327,URY,2017,81.3157,Uruguay,1767547.0,17.0,1.639,28.0
328,VCT,2017,77.0517,San Vicente y las Granadinas,51523.0,68.0,0,0
329,VEN,2017,76.2277,Venezuela,15379664.0,125.0,2.65,0
330,ARG,2018,80.3295,Argentina,22467488.0,39.0,1.911,258.0
331,ATG,2018,81.0003,Antigua y Barbuda,47910.0,42.0,0,0
332,BHS,2018,77.3203,Bahamas,209250.0,70.0,0,0
333,BLZ,2018,77.0211,Belice,189707.0,36.0,0,0
334,BOL,2018,70.3834,Bolivia,5774185.0,155.0,1.986,130.0
335,BRA,2018,78.2655,Brasil,106812144.0,60.0,2.16,1867.0
336,BRB,2018,78.9579,Barbados,145752.0,27.0,0,0
337,CHL,2018,82.5267,Chile,9420150.0,13.0,1.628,0
338,COL,2018,79.6597,Colombia,24945907.0,83.0,2.661,228.0
339,CRI,2018,82.0831,Costa Rica,2515262.0,27.0,1.74,23.0
340,CUB,2018,80.0507,Cuba,5691084.0,36.0,1.991,0
341,DMA,2018,77.2471,Dominica,35370.0,0,0,0
342,DOM,2018,76.4995,República Dominicana,5348537.0,95.0,2.045,165.0
343,ECU,2018,79.6038,Ecuador,8506021.0,59.0,1.907,68.0
344,GRD,2018,77.7959,Granada,60748.0,25.0,0,0
345,GTM,2018,75.5708,Guatemala,8250539.0,95.0,2.114,155.0
346,GUY,2018,72.4388,Guyana,399474.0,169.0,2.035,0
347,HND,2018,75.318,Honduras,4844019.0,65.0,2.157,218.0
348,HTI,2018,66.9187,Haití,5548683.0,480.0,1.975,0
349,JAM,2018,73.9027,Jamaica,1415821.0,80.0,1.958,0
350,KNA,2018,75.0846,Saint Kitts y Nevis,24545.0,0,0,0
351,LCA,2018,76.9681,Santa Lucía,89573.0,117.0,0,0
352,MEX,2018,77.2856,México,63328698.0,33.0,2.426,893.0
353,NIC,2018,76.6806,Nicaragua,3333171.0,98.0,1.892,0
354,PAN,2018,81.0243,Panamá,2080041.0,52.0,1.828,19.0
355,PER,2018,78.2926,Perú,16242003.0,88.0,1.925,150.0
356,PRY,2018,76.3419,Paraguay,3205602.0,84.0,2.021,59.0
357,SLV,2018,77.4882,El Salvador,3284064.0,46.0,2.24,232.0
358,SUR,2018,75.9369,Suriname,297374.0,120.0,0,0
359,TTO,2018,77.3525,Trinidad y Tobago,761204.0,67.0,2.019,24.0
360,URY,2018,81.2826,Uruguay,1769223.0,17.0,1.729,30.0
361,VCT,2018,76.8627,San Vicente y las Granadinas,51425.0,68.0,0,0
362,VEN,2018,76.4306,Venezuela,15021517.0,125.0,2.719,0
363,ARG,2019,80.6807,Argentina,22689693.0,39.0,1.984,255.0
364,ATG,2019,81.1709,Antigua y Barbuda,48156.0,42.0,0,0
365,BHS,2019,73.83,Bahamas,210821.0,70.0,0,0
366,BLZ,2019,77.2467,Belice,193151.0,36.0,0,0
367,BOL,2019,70.4753,Bolivia,5860919.0,155.0,1.977,117.0
368,BRA,2019,78.4695,Brasil,107663080.0,60.0,2.449,2048.0
369,BRB,2019,79.1234,Barbados,145957.0,27.0,0,0
370,CHL,2019,82.7112,Chile,9589082.0,13.0,1.654,0
371,COL,2019,79.721,Colombia,25408106.0,83.0,2.672,177.0
372,CRI,2019,81.9525,Costa Rica,2538156.0,27.0,1.735,17.0
373,CUB,2019,80.0747,Cuba,5688414.0,36.0,2.018,0
374,DMA,2019,77.2054,Dominica,35755.0,0,0,0
375,DOM,2019,76.9649,República Dominicana,5409472.0,95.0,2.023,152.0
376,ECU,2019,79.953,Ecuador,8670974.0,59.0,1.943,70.0
377,GRD,2019,77.8338,Granada,61240.0,25.0,0,0
378,GTM,2019,75.8119,Guatemala,8380231.0,95.0,2.193,146.0
379,GUY,2019,72.6584,Guyana,405932.0,169.0,2.083,0
380,HND,2019,75.3704,Honduras,4927035.0,65.0,2.221,295.0
381,HTI,2019,67.3292,Haití,5625310.0,480.0,2.047,0
382,JAM,2019,73.8735,Jamaica,1417116.0,80.0,1.943,0
383,KNA,2019,75.195,Saint Kitts y Nevis,24562.0,0,0,0
384,LCA,2019,77.058,Santa Lucía,90001.0,117.0,0,0
385,MEX,2019,77.5736,México,63898082.0,33.0,2.46,945.0
386,NIC,2019,77.0005,Nicaragua,3379591.0,98.0,2.261,0
387,PAN,2019,80.9536,Panamá,2114030.0,52.0,1.815,19.0
388,PER,2019,78.4966,Perú,16556679.0,88.0,1.939,148.0
389,PRY,2019,76.441,Paraguay,3249592.0,84.0,2.096,37.0
390,SLV,2019,76.7759,El Salvador,3287678.0,46.0,2.222,113.0
391,SUR,2019,75.6803,Suriname,300864.0,120.0,0,0
392,TTO,2019,77.6973,Trinidad y Tobago,768058.0,67.0,2.045,20.0
393,URY,2019,81.2959,Uruguay,1769262.0,17.0,1.679,25.0
394,VCT,2019,75.5799,San Vicente y las Granadinas,51288.0,68.0,0,0
395,VEN,2019,76.5658,Venezuela,14605811.0,125.0,2.734,0
396,ARG,2020,79.2846,Argentina,22911069.0,39.0,1.948,251.0
397,ATG,2020,81.3155,Antigua y Barbuda,48428.0,42.0,0,0
398,BHS,2020,76.2696,Bahamas,211965.0,70.0,0,0
399,BLZ,2020,76.6257,Belice,196111.0,36.0,0,0
400,BOL,2020,67.8408,Bolivia,5943886.0,155.0,2.037,113.0
401,BRA,2020,77.3747,Brasil,108417015.0,60.0,2.446,1596.0
402,BRB,2020,79.2095,Barbados,146165.0,27.0,0,0
403,CHL,2020,82.0406,Chile,9720358.0,13.0,1.815,43.0
404,COL,2020,78.1362,Colombia,25791075.0,83.0,2.663,187.0
405,CRI,2020,81.9122,Costa Rica,2558483.0,27.0,1.709,28.0
406,CUB,2020,80.2255,Cuba,5683880.0,36.0,2.048,0
407,DMA,2020,77.2597,Dominica,36112.0,0,0,0
408,DOM,2020,76.9139,República Dominicana,5472181.0,95.0,1.961,134.0
409,ECU,2020,76.0557,Ecuador,8798448.0,59.0,2.031,77.0
410,GRD,2020,77.8688,Granada,61746.0,25.0,0,0
411,GTM,2020,75.545,Guatemala,8509834.0,95.0,2.155,118.0
412,GUY,2020,72.118,Guyana,407303.0,169.0,2.065,0
413,HND,2020,73.9873,Honduras,5008783.0,65.0,2.206,227.0
414,HTI,2020,67.1177,Haití,5701407.0,480.0,2.132,0
415,JAM,2020,73.9185,Jamaica,1420767.0,80.0,1.972,0
416,KNA,2020,75.2665,Saint Kitts y Nevis,24570.0,0,0,0
417,LCA,2020,77.055,Santa Lucía,90411.0,117.0,0,0
418,MEX,2020,74.3136,México,64410851.0,33.0,2.565,948.0
419,NIC,2020,75.012,Nicaragua,3426548.0,98.0,2.32,0
420,PAN,2020,80.0343,Panamá,2145526.0,52.0,1.87,31.0
421,PER,2020,76.8162,Perú,16805323.0,88.0,1.993,137.0
422,PRY,2020,76.1558,Paraguay,3294711.0,84.0,2.005,36.0
423,SLV,2020,75.413,El Salvador,3295300.0,46.0,2.224,73.0
424,SUR,2020,75.981,Suriname,304409.0,120.0,0,0
425,TTO,2020,77.8806,Trinidad y Tobago,768972.0,67.0,2.016,22.0
426,URY,2020,81.911,Uruguay,1768921.0,17.0,1.688,19.0
427,VCT,2020,74.9442,San Vicente y las Granadinas,51199.0,68.0,0,0
428,VEN,2020,75.8142,Venezuela,14376694.0,125.0,2.701,0
429,ARG,2021,78.6471,Argentina,23130548.0,39.0,1.926,231.0
430,ATG,2021,80.9411,Antigua y Barbuda,48709.0,42.0,0,0
431,BHS,2021,75.0957,Bahamas,212878.0,70.0,0,0
432,BLZ,2021,74.3322,Belice,198800.0,36.0,0,7.0
433,BOL,2021,66.7999,Bolivia,6020925.0,155.0,2.018,108.0
434,BRA,2021,76.0086,Brasil,109034931.0,60.0,2.403,1900.0
435,BRB,2021,79.3594,Barbados,146366.0,27.0,0,0
436,CHL,2021,81.4368,Chile,9818163.0,13.0,1.787,44.0
437,COL,2021,76.4421,Colombia,26101321.0,83.0,2.689,210.0
438,CRI,2021,79.8106,Costa Rica,2575216.0,27.0,1.718,18.0
439,CUB,2021,76.3585,Cuba,5667114.0,36.0,2.05,0
440,DMA,2021,76.3013,Dominica,36373.0,0,0,0
441,DOM,2021,76.2914,República Dominicana,5535650.0,95.0,1.972,150.0
442,ECU,2021,77.4619,Ecuador,8910903.0,59.0,2.012,71.0
443,GRD,2021,77.8979,Granada,62254.0,25.0,0,0
444,GTM,2021,72.6514,Guatemala,8639673.0,95.0,2.166,138.0
445,GUY,2021,69.1042,Guyana,410932.0,169.0,2.119,0
446,HND,2021,72.5341,Honduras,5087643.0,65.0,2.308,234.0
447,HTI,2021,66.1191,Haití,5774718.0,480.0,2.068,0
448,JAM,2021,72.543,Jamaica,1424743.0,80.0,1.97,0
449,KNA,2021,75.3413,Saint Kitts y Nevis,24591.0,0,0,0
450,LCA,2021,74.7166,Santa Lucía,90712.0,117.0,0,0
451,MEX,2021,74.8637,México,64849001.0,33.0,2.625,1015.0
452,NIC,2021,76.8026,Nicaragua,3474910.0,98.0,2.338,0
453,PAN,2021,79.594,Panamá,2174744.0,52.0,1.883,22.0
454,PER,2021,74.7462,Perú,17020361.0,88.0,2.022,136.0
455,PRY,2021,73.3847,Paraguay,3338534.0,84.0,2.005,35.0
456,SLV,2021,75.1492,El Salvador,3307476.0,46.0,2.18,80.0
457,SUR,2021,73.5513,Suriname,307598.0,120.0,0,0
458,TTO,2021,76.4032,Trinidad y Tobago,772874.0,67.0,2.024,0
459,URY,2021,79.2583,Uruguay,1766768.0,17.0,1.782,26.0
460,VCT,2021,72.3958,San Vicente y las Granadinas,51123.0,68.0,0,0
461,VEN,2021,75.2072,Venezuela,14243056.0,125.0,2.757,0